,position,dob,country,dob_converted,mob
96,2DF,(2002-11-24)24 November 2002 (aged 17),France,2002-11-24,11
97,2DF,(2002-02-08)8 February 2002 (aged 18),France,2002-02-08,2
98,2DF,(2002-06-07)7 June 2002 (aged 17),France,2002-06-07,6
99,2DF,(2002-05-15)15 May 2002 (aged 17),France,2002-05-15,5
100,2DF,(2002-09-03)3 September 2002 (aged 17),France,2002-09-03,9
101,2DF,(2002-02-21)21 February 2002 (aged 18),France,2002-02-21,2
102,2DF,(2002-01-14)14 January 2002 (aged 18),France,2002-01-14,1
103,3MF,(2002-02-09)9 February 2002 (aged 18),France,2002-02-09,2
104,3MF,(2002-07-15)15 July 2002 (aged 17),France,2002-07-15,7
105,3MF,(2002-10-22)22 October 2002 (aged 17),France,2002-10-22,10
106,3MF,(2002-07-17)17 July 2002 (aged 17),France,2002-07-17,7
107,3MF,(2002-05-18)18 May 2002 (aged 17),France,2002-05-18,5
108,4FW,(2002-08-26)26 August 2002 (aged 17),France,2002-08-26,8
109,4FW,(2002-04-10)10 April 2002 (aged 17),France,2002-04-10,4
110,4FW,(2002-03-16)16 March 2002 (aged 18),France,2002-03-16,3
111,4FW,(2002-05-11)11 May 2002 (aged 17),France,2002-05-11,5
112,4FW,(2002-04-20)20 April 2002 (aged 17),France,2002-04-20,4
113,4FW,(2002-03-07)7 March 2002 (aged 18),France,2002-03-07,3
114,1GK,(2002-07-04) 4 July 2002 (age 19),Vietnam,2002-07-04,7
115,1GK,(2002-04-18) 18 April 2002 (age 19),Vietnam,2002-04-18,4
116,1GK,(2002-05-30) 30 May 2002 (age 19),Vietnam,2002-05-30,5
118,2DF,(2002-04-24) 24 April 2002 (age 19),Vietnam,2002-04-24,4
119,2DF,(2002-02-02) 2 February 2002 (age 19),Vietnam,2002-02-02,2
120,2DF,(2002-04-27) 27 April 2002 (age 19),Vietnam,2002-04-27,4
121,2DF,(2003-08-05) 5 August 2003 (age 17),Vietnam,2003-08-05,8
122,2DF,(2002-04-04) 4 April 2002 (age 19),Vietnam,2002-04-04,4
123,2DF,(2002-11-07) 7 November 2002 (age 18),Vietnam,2002-11-07,11
124,2DF,(2002-10-14) 14 October 2002 (age 18),Vietnam,2002-10-14,10
126,3MF,(2002-01-14) 14 January 2002 (age 19),Vietnam,2002-01-14,1
127,3MF,(2002-04-10) 10 April 2002 (age 19),Vietnam,2002-04-10,4
128,3MF,(2002-01-22) 22 January 2002 (age 19),Vietnam,2002-01-22,1
129,3MF,(2002-03-16) 16 March 2002 (age 19),Vietnam,2002-03-16,3
130,3MF,(2003-05-11) 11 May 2003 (age 18),Vietnam,2003-05-11,5
131,3MF,(2003-01-17) 17 January 2003 (age 18),Vietnam,2003-01-17,1
132,3MF,(2002-03-07) 7 March 2002 (age 19),Vietnam,2002-03-07,3
133,3MF,(2002-06-03) 3 June 2002 (age 19),Vietnam,2002-06-03,6
134,3MF,(2002-12-11) 11 December 2002 (age 18),Vietnam,2002-12-11,12
136,4FW,(2002-05-16) 16 May 2002 (age 19),Vietnam,2002-05-16,5
137,4FW,(2003-03-01) 1 March 2003 (age 18),Vietnam,2003-03-01,3
138,4FW,(2002-04-18) 18 April 2002 (age 19),Vietnam,2002-04-18,4
139,4FW,(2002-05-19) 19 May 2002 (age 19),Vietnam,2002-05-19,5
